,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",ti,hii,DFFITS,Cooks distance
11788,17100,F,44,5.0,5.0574699999999995,227.03,1,0,0,0,1,5945,226.96907638289085,0.06092361710915384,5.425082167339534,5.42641180122734,-0.0013296338878063807,0.0047194449167204215,0.0003660761128134913,9.031421764237786e-05,9.063641210808113e-10
4980,4073,M,53,4.466,4.55978,201.5,0,0,1,0,0,2509,206.688141011637,-5.188141011636986,5.305789381386738,5.3180546106704165,-0.012265229283678458,-0.401929538394757,0.0005053155257769525,-0.009037347896786334,9.075428379720184e-06
14329,22159,F,48,5.524,5.491169999999999,235.42,1,0,0,0,1,7182,243.5012089036728,-8.081208903672803,5.461371152984334,5.492655460303033,-0.0312843073186988,-0.6260267395081525,0.0003883961657339037,-0.01233998711225323,1.6920256781736124e-05
25463,28188,F,33,6.704,7.28523,329.6,1,0,0,0,0,12707,333.72740326710147,-4.1274032671014425,5.797879798035317,5.8309330684393545,-0.033053270404037605,-0.31979221318989853,0.0007529428523457848,-0.008778341118777521,8.56272492280968e-06
20642,24949,F,60,5.944,6.13912,267.42,1,0,0,0,0,10312,276.9535427406559,-9.53354274065589,5.58882045618652,5.615968374534514,-0.02714791834799435,-0.7387228084609117,0.0008859216266502499,-0.02199741361076037,5.3766988037537094e-05
12828,20780,M,65,5.06,5.04657,230.37,0,0,0,0,1,6434,231.18451569961698,-0.814515699616976,5.439686712010562,5.445173231881558,-0.005486519870996354,-0.06310537134749838,0.0006494275242075636,-0.0016086913975888858,2.87564853804547e-07
22251,24311,M,66,5.566,5.86563,280.72,0,0,0,0,0,11074,273.9598825274456,6.760117472554441,5.637357731274959,5.602535866468749,0.034821864806210634,0.5238000772216399,0.0008334570368117661,0.015128233715964333,2.543067355826774e-05
21770,31170,F,44,6.154,6.23439,276.25,1,0,0,0,0,10847,279.7512840251905,-3.5012840251905004,5.621306252831962,5.625315802142802,-0.004009549310839411,-0.2712400717889928,0.00045839206600974624,-0.005808606521511091,3.749142507104521e-06
196,485,M,37,3.67,3.7554199999999995,160.6,0,0,1,0,0,93,173.3225028951554,-12.722502895155401,5.078916801512661,5.184691376734039,-0.10577457522137745,-0.9856224761520536,0.0004433470591141337,-0.020757679757444598,4.7875800293711324e-05
17313,20497,F,43,5.766,5.59782,248.22,1,0,0,0,1,8644,245.84997383749186,2.3700261625081396,5.5143154497013755,5.50220331624378,0.01211213345759532,0.18360894106747358,0.0005266733679250961,0.004214818724478463,1.973999998045074e-06
3213,5465,M,37,4.316,4.37493,192.42,0,0,1,0,0,1629,199.06135010689295,-6.641350106892958,5.259680482933119,5.285845996067283,-0.026165513134164264,-0.514462510772049,0.0003096987151271956,-0.00905504671834706,9.11093866097058e-06
3829,2594,M,24,4.916,4.8238,195.85,0,0,1,0,0,1945,216.01654449784368,-20.166544497843688,5.27734906011184,5.351505176806796,-0.07415611669495625,-1.5626195656416717,0.0007171702998569356,-0.04186202118789436,0.0001946930056450678
292,282,M,29,3.596,3.6402400000000004,163.95,0,0,1,0,0,142,168.12172967963605,-4.171729679636059,5.099561503290658,5.163348481512352,-0.06378697822169421,-0.3231883596951184,0.0005160841790923492,-0.0073439223859142885,5.992984728832733e-06
2577,604,M,26,3.84,3.80946,188.85,0,0,1,0,0,1306,174.09833953303215,14.751660466967849,5.240953049158466,5.186932529006429,0.05402052015203651,1.1428545452350096,0.0004732465614420724,0.024867806644513452,6.871038200702994e-05
15553,22006,F,52,5.256,5.31438,239.72,1,0,0,0,1,7831,237.44687744975516,2.2731225502448353,5.479471575589985,5.468789470053906,0.010682105536078623,0.1760889811801477,0.000382547465171118,0.0034447517546810228,1.3185763915033468e-06
7941,15440,F,34,5.006,4.97358,213.43,1,0,0,1,0,4041,219.47905648045224,-6.049056480452236,5.363308910055477,5.389748451625455,-0.026439541569978076,-0.4686171090706088,0.00046568975384335214,-0.010115040561340228,1.1368900752175774e-05
